id,job,name
19995,Editor,Stephen E. Rivkin
19995,Sound Designer,Christopher Boyes
19995,Casting,Mali Finn
19995,Director,James Cameron
19995,Writer,James Cameron
19995,Set Designer,Richard F. Mays
19995,Costume Design,Mayes C. Rubeo
19995,Director of Photography,Mauro Fiore
19995,Hairstylist,Linda DeVetta
19995,Visual Effects Editor,Steve R. Moore
19995,Set Designer,Karl J. Martin
19995,Dialect Coach,Carla Meyer
19995,Art Direction,Jill Cormack
19995,Motion Capture Artist,Terry Notary
19995,Production Design,Robert Stromberg
19995,Steadicam Operator,Roberto De Angelis
19995,Makeup Department Head,Mike Smithson
19995,Visual Effects Producer,Alain Lalanne
19995,Post Production Supervisor,Janace Tashjian
19995,Visual Effects Supervisor,Stephen Rosenbaum
19995,Visual Effects Supervisor,Jonathan Fawkner
19995,Costume Supervisor,Anthony Almaraz
19995,Costume Supervisor,Beth Koenigsberg
19995,Transportation Coordinator,Denny Caira
19995,Set Designer,Joseph Hiura
19995,Set Designer,Robert Andrew Johnson
19995,Construction Coordinator,John Villarino
19995,Assistant Art Director,Jeffrey Wisniewski
19995,Supervising Sound Editor,Gwendolyn Yates Whittle
19995,Sound Re-Recording Mixer,William Stein
19995,Sound Effects Editor,Tim Nielsen
19995,CG Supervisor,Michael Mulholland
19995,Visual Effects Supervisor,Edson Williams
19995,Production Supervisor,Jennifer Teves
19995,Special Effects Coordinator,Iain Hutton
19995,Visual Effects Producer,Jenny Foster
19995,Visual Effects Supervisor,Anthony 'Max' Ivins
19995,Visual Effects Supervisor,Eric Saindon
19995,Visual Effects Supervisor,Guy Williams
19995,Best Boy Electric,Giles Coburn
19995,Animation Director,Jeremy Hollobon
19995,Animation Director,Taisuke Tanimura
19995,Digital Intermediate,Marvin Hall
19995,CG Supervisor,Andrew Morley
19995,CG Supervisor,Brad Alexander
19995,CG Supervisor,Simon Clutterbuck
19995,CG Supervisor,Graeme Demmocks
19995,CG Supervisor,Mitch Gates
19995,CG Supervisor,Andy Lomas
19995,CG Supervisor,Sebastian Marino
19995,CG Supervisor,Matthias Menz
19995,CG Supervisor,Philippe Rebours
285,Director,Gore Verbinski
285,Producer,Jerry Bruckheimer
285,Editor,Stephen E. Rivkin
285,Original Music Composer,Hans Zimmer
285,Executive Producer,Mike Stenson
285,Producer,Eric McLeod
285,Casting,Denise Chamian
285,Production Design,Rick Heinrichs
185465,Director,Eric Eason
38780,Director,Uwe Boll
38780,Director of Photography,Mathias Neumann
38780,Producer,Dan Clarke
38780,Art Direction,Keli Manson
14022,Director,Richard Linklater
366967,Director,Joseph Mazzella
255266,Director,Travis Legge
17345,Director,Alex Kendrick
17345,Story,Alex Kendrick
17345,Executive Producer,Barry Carr
226458,Director,Marcus Nispel
226458,Music,Eric Allaman
226458,Sound Designer,Keith Bilderbeck
226458,Producer,Michael Corso
226458,Visual Effects Supervisor,Rocco Passionino
226458,Steadicam Operator,Christopher TJ McGuire
226458,Stunt Coordinator,Paul Marini
226458,Art Direction,Jared Hartley
226458,Set Decoration,Sarah Hill Richmond
226458,Visual Effects Supervisor,Jeffrey Edward Baksinski
226458,Music Editor,David Bawiec
24055,Director,Jay Duplass
24055,Director,Mark Duplass
287625,Director,Jim Chuchu
44990,Screenplay,Zoe Lister-Jones
44990,Director,Daryl Wein
44990,Original Music Composer,Kyle Forester
86304,Director,Jason Trost
86304,Writer,Jason Trost
692,Director,John Waters
692,Editor,John Waters
39851,Director,Olivier Assayas
13898,Director,Jafar Panahi
157185,Director,Ivan Kavanagh
36095,Director,Kiyoshi Kurosawa
182291,Director,Tadeo Garcia
182291,Story,Tadeo Garcia
286939,Director,Thomas L. Phillips
124606,Director,Ash Baron-Cohen
124606,Producer,Ladd Vance
124606,Cinematography,David Gasperik
14337,Director,Shane Carruth
14337,Cinematography,Shane Carruth
67238,Director,Neill Dela Llana
67238,Director,Ian Gamazon
9367,Director,Robert Rodriguez
9367,Producer,Robert Rodriguez
9367,Music,Chris Knudson
9367,Music,Cecilio Rodríguez
72766,Director,Edward Burns
72766,Producer,William Rexer
72766,Editor,Janet Gaynor
231617,Director,Scott Smith
231617,Executive Producer,Scott Smith
126186,Director,Daniel Hsia
25975,Executive Producer,Clark Peterson
25975,Director,Brian Herzlinger
25975,Director,Jon Gunn
25975,Director,Brett Winn
